disease_bn,symptoms_bn
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|ক্ষুধা_কমা|চেতনা_হারা
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|ক্ষুধা_কমা|রক্তবমি
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|ক্ষুধা_কমা
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|র‌্যাশ|দ্রুত_নাড়ি_স্পন্দন|চেতনা_হারা|রক্তবমি
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|র‌্যাশ|দ্রুত_নাড়ি_স্পন্দন|চেতনা_হারা
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|র‌্যাশ|দ্রুত_নাড়ি_স্পন্দন
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|র‌্যাশ|চেতনা_হারা|রক্তবমি
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|র‌্যাশ|চেতনা_হারা
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|র‌্যাশ|রক্তবমি
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|র‌্যাশ
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|দ্রুত_নাড়ি_স্পন্দন|চেতনা_হারা|রক্তবমি
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|দ্রুত_নাড়ি_স্পন্দন|চেতনা_হারা
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|দ্রুত_নাড়ি_স্পন্দন|রক্তবমি
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|চেতনা_হারা
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|চোখের_পেছনে_ব্যথা|রক্তবমি
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|ক্ষুধা_কমা|র‌্যাশ|দ্রুত_নাড়ি_স্পন্দন|চেতনা_হারা|রক্তবমি
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|ক্ষুধা_কমা|র‌্যাশ|দ্রুত_নাড়ি_স্পন্দন|চেতনা_হারা
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|ক্ষুধা_কমা|র‌্যাশ|দ্রুত_নাড়ি_স্পন্দন|রক্তবমি
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|ক্ষুধা_কমা|র‌্যাশ|দ্রুত_নাড়ি_স্পন্দন
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|ক্ষুধা_কমা|র‌্যাশ|চেতনা_হারা|রক্তবমি
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|ক্ষুধা_কমা|র‌্যাশ|চেতনা_হারা
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|ক্ষুধা_কমা|র‌্যাশ|রক্তবমি
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|ক্ষুধা_কমা|র‌্যাশ
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|ক্ষুধা_কমা|দ্রুত_নাড়ি_স্পন্দন|চেতনা_হারা|রক্তবমি
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|ক্ষুধা_কমা|দ্রুত_নাড়ি_স্পন্দন|চেতনা_হারা
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|ক্ষুধা_কমা|দ্রুত_নাড়ি_স্পন্দন|রক্তবমি
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|ক্ষুধা_কমা|দ্রুত_নাড়ি_স্পন্দন
ডেঙ্গু,শ্বাসকষ্ট|তীব্র_জ্বর|ক্ষুধা_কমা|চেতনা_হারা|রক্তবমি
আমাশয়,পেট_ফোলা|পেট_ব্যথা|রক্তাক্ত_ডায়রিয়া|বমি|দুর্বলতা|শুষ্ক_ত্বক
আমাশয়,পেট_ফোলা|পেট_ব্যথা|রক্তাক্ত_ডায়রিয়া|বমি|দুর্বলতা
আমাশয়,পেট_ফোলা|পেট_ব্যথা|রক্তাক্ত_ডায়রিয়া|বমি|শুষ্ক_ত্বক
আমাশয়,পেট_ফোলা|পেট_ব্যথা|রক্তাক্ত_ডায়রিয়া|দুর্বলতা|শুষ্ক_ত্বক
আমাশয়,পেট_ফোলা|পেট_ব্যথা|বমি|দুর্বলতা|শুষ্ক_ত্বক
আমাশয়,পেট_ফোলা|রক্তাক্ত_ডায়রিয়া|বমি|দুর্বলতা|শুষ্ক_ত্বক
আমাশয়,পেট_ব্যথা|রক্তাক্ত_ডায়রিয়া|বমি|দুর্বলতা|শুষ্ক_ত্বক
আমাশয়,পেট_ফোলা|পেট_ব্যথা|রক্তাক্ত_ডায়রিয়া|বমি
আমাশয়,পেট_ফোলা|পেট_ব্যথা|রক্তাক্ত_ডায়রিয়া|দুর্বলতা
আমাশয়,পেট_ফোলা|পেট_ব্যথা|রক্তাক্ত_ডায়রিয়া|শুষ্ক_ত্বক
আমাশয়,পেট_ফোলা|পেট_ব্যথা|বমি|দুর্বলতা
আমাশয়,পেট_ফোলা|পেট_ব্যথা|বমি|শুষ্ক_ত্বক
আমাশয়,পেট_ফোলা|পেট_ব্যথা|দুর্বলতা|শুষ্ক_ত্বক
আমাশয়,পেট_ফোলা|রক্তাক্ত_ডায়রিয়া|বমি|দুর্বলতা
আমাশয়,পেট_ফোলা|রক্তাক্ত_ডায়রিয়া|বমি|শুষ্ক_ত্বক
আমাশয়,পেট_ফোলা|রক্তাক্ত_ডায়রিয়া|দুর্বলতা|শুষ্ক_ত্বক
আমাশয়,পেট_ফোলা|বমি|দুর্বলতা|শুষ্ক_ত্বক
আমাশয়,পেট_ব্যথা|রক্তাক্ত_ডায়রিয়া|বমি|দুর্বলতা
আমাশয়,পেট_ব্যথা|রক্তাক্ত_ডায়রিয়া|বমি|শুষ্ক_ত্বক
আমাশয়,পেট_ব্যথা|রক্তাক্ত_ডায়রিয়া|দুর্বলতা|শুষ্ক_ত্বক
আমাশয়,পেট_ব্যথা|বমি|দুর্বলতা|শুষ্ক_ত্বক
আমাশয়,রক্তাক্ত_ডায়রিয়া|বমি|দুর্বলতা|শুষ্ক_ত্বক
জলবসন্ত,ঘামাচির_মতো_গুটি|ফুসকুড়ি
জলবসন্ত,শরীর_ব্যথা|ঘামাচির_মতো_গুটি|ফুসকুড়ি|জ্বর
জলবসন্ত,শরীর_ব্যথা|ঘামাচির_মতো_গুটি|ফুসকুড়ি
জলবসন্ত,শরীর_ব্যথা|ঘামাচির_মতো_গুটি|জ্বর
জলবসন্ত,শরীর_ব্যথা|ফুসকুড়ি|জ্বর
জলবসন্ত,ঘামাচির_মতো_গুটি|ফুসকুড়ি|জ্বর
কোষ্ঠকাঠিন্য,পেট_ব্যথা|দুর্বলতা|জ্বর|মলত্যাগে_অসুবিধা|পানিশূন্যতা
কোষ্ঠকাঠিন্য,পেট_ব্যথা|দুর্বলতা|জ্বর|মলত্যাগে_অসুবিধা
কোষ্ঠকাঠিন্য,পেট_ব্যথা|দুর্বলতা|জ্বর|পানিশূন্যতা
কোষ্ঠকাঠিন্য,পেট_ব্যথা|জ্বর|মলত্যাগে_অসুবিধা|পানিশূন্যতা
কোষ্ঠকাঠিন্য,দুর্বলতা|জ্বর|মলত্যাগে_অসুবিধা|পানিশূন্যতা
কোষ্ঠকাঠিন্য,জ্বর|মলত্যাগে_অসুবিধা|পানিশূন্যতা
কোষ্ঠকাঠিন্য,মলত্যাগে_অসুবিধা|পানিশূন্যতা
কোষ্ঠকাঠিন্য,দুর্বলতা|মলত্যাগে_অসুবিধা
কোষ্ঠকাঠিন্য,জ্বর|মলত্যাগে_অসুবিধা
কোষ্ঠকাঠিন্য,পেট_ব্যথা|দুর্বলতা|মলত্যাগে_অসুবিধা
কোষ্ঠকাঠিন্য,পেট_ব্যথা|জ্বর|মলত্যাগে_অসুবিধা
কোষ্ঠকাঠিন্য,দুর্বলতা|মলত্যাগে_অসুবিধা
চোখ ওঠা,চোখ_লাল_হওয়া|চোখ_দিয়ে_পানি_পড়া|চোখে_অস্বস্তিবোধ|চোখের_পাতা_ফুলে_যাওয়া|চোখে_ব্যথা|চোখের_পাতা_লেগে_থাকা|চোখে_জ্বালা_পোড়া
চোখ ওঠা,চোখ_লাল_হওয়া|চোখ_দিয়ে_পানি_পড়া|চোখে_অস্বস্তিবোধ|চোখের_পাতা_ফুলে_যাওয়া|চোখের_পাতা_লেগে_থাকা
চোখ ওঠা,চোখ_লাল_হওয়া|চোখ_দিয়ে_পানি_পড়া|চোখে_অস্বস্তিবোধ|চোখের_পাতা_ফুলে_যাওয়া|চোখে_জ্বালা_পোড়া
চোখ ওঠা,চোখ_লাল_হওয়া|চোখ_দিয়ে_পানি_পড়া|চোখে_অস্বস্তিবোধ|চোখে_ব্যথা|চোখের_পাতা_লেগে_থাকা
চোখ ওঠা,চোখ_লাল_হওয়া|চোখ_দিয়ে_পানি_পড়া|চোখে_অস্বস্তিবোধ|চোখে_ব্যথা|চোখে_জ্বালা_পোড়া
চোখ ওঠা,চোখ_লাল_হওয়া|চোখ_দিয়ে_পানি_পড়া|চোখে_অস্বস্তিবোধ|চোখের_পাতা_লেগে_থাকা|চোখে_জ্বালা_পোড়া
চোখ ওঠা,চোখ_লাল_হওয়া|চোখ_দিয়ে_পানি_পড়া|চোখের_পাতা_ফুলে_যাওয়া|চোখে_ব্যথা|চোখের_পাতা_লেগে_থাকা
চোখ ওঠা,চোখ_লাল_হওয়া|চোখ_দিয়ে_পানি_পড়া|চোখের_পাতা_ফুলে_যাওয়া|চোখে_ব্যথা|চোখে_জ্বালা_পোড়া
চোখ ওঠা,চোখ_লাল_হওয়া|চোখ_দিয়ে_পানি_পড়া|চোখের_পাতা_ফুলে_যাওয়া|চোখের_পাতা_লেগে_থাকা|চোখে_জ্বালা_পোড়া
চোখ ওঠা,চোখ_লাল_হওয়া|চোখ_দিয়ে_পানি_পড়া|চোখে_ব্যথা|চোখের_পাতা_লেগে_থাকা|চোখে_জ্বালা_পোড়া
চোখ ওঠা,চোখ_লাল_হওয়া|চোখে_অস্বস্তিবোধ|চোখের_পাতা_ফুলে_যাওয়া|চোখে_ব্যথা|চোখের_পাতা_লেগে_থাকা
চোখ ওঠা,চোখ_লাল_হওয়া|চোখে_অস্বস্তিবোধ|চোখের_পাতা_ফুলে_যাওয়া|চোখে_ব্যথা|চোখে_জ্বালা_পোড়া
চোখ ওঠা,চোখ_লাল_হওয়া|চোখে_অস্বস্তিবোধ|চোখের_পাতা_ফুলে_যাওয়া|চোখের_পাতা_লেগে_থাকা|চোখে_জ্বালা_পোড়া
চোখ ওঠা,চোখ_লাল_হওয়া|চোখে_অস্বস্তিবোধ|চোখে_ব্যথা|চোখের_পাতা_লেগে_থাকা|চোখে_জ্বালা_পোড়া
চোখ ওঠা,চোখ_দিয়ে_পানি_পড়া|চোখে_অস্বস্তিবোধ|চোখের_পাতা_ফুলে_যাওয়া|চোখে_ব্যথা|চোখের_পাতা_লেগে_থাকা
চোখ ওঠা,চোখ_দিয়ে_পানি_পড়া|চোখে_অস্বস্তিবোধ|চোখের_পাতা_ফুলে_যাওয়া|চোখে_ব্যথা|চোখে_জ্বালা_পোড়া
চোখ ওঠা,চোখ_দিয়ে_পানি_পড়া|চোখে_অস্বস্তিবোধ|চোখের_পাতা_ফুলে_যাওয়া|চোখের_পাতা_লেগে_থাকা|চোখে_জ্বালা_পোড়া
চোখ ওঠা,চোখ_দিয়ে_পানি_পড়া|চোখে_অস্বস্তিবোধ|চোখে_ব্যথা|চোখের_পাতা_লেগে_থাকা|চোখে_জ্বালা_পোড়া
গুটিবসন্ত,বমি|জ্বর|পেশী_ব্যথা|মাথা_ব্যথা|পিঠে_ব্যথা
গুটিবসন্ত,বমি|পেশী_ব্যথা|মাথা_ব্যথা|পিঠে_ব্যথা
গুটিবসন্ত,বমি|জ্বর|মাথা_ব্যথা|পিঠে_ব্যথা
গুটিবসন্ত,বমি|জ্বর|পেশী_ব্যথা|পিঠে_ব্যথা
গুটিবসন্ত,বমি|জ্বর|পেশী_ব্যথা|মাথা_ব্যথা
গুটিবসন্ত,জ্বর|পেশী_ব্যথা|মাথা_ব্যথা|পিঠে_ব্যথা
দাদ রোগ,চুলকানি|র‌্যাশ|খসখসে_ত্বক
দাদ রোগ,চুলকানি|র‌্যাশ
বাত,শরীর_ব্যথা|ওজন_কমা|ঘুমে_সমস্যা|দুর্বলতা|পেশী_ব্যথা|জয়েন্টে_ব্যথা|ফোলা|হাটতে_অক্ষমতা
বাত,শরীর_ব্যথা|দুর্বলতা|পেশী_ব্যথা|ফোলা|হাটতে_অক্ষমতা
বাত,ঘুমে_সমস্যা|দুর্বলতা|জয়েন্টে_ব্যথা|ফোলা|হাটতে_অক্ষমতা
বাত,শরীর_ব্যথা|ওজন_কমা|ঘুমে_সমস্যা|পেশী_ব্যথা|ফোলা|হাটতে_অক্ষমতা
বাত,ওজন_কমা|ঘুমে_সমস্যা|দুর্বলতা|জয়েন্টে_ব্যথা|ফোলা|হাটতে_অক্ষমতা
বাত,শরীর_ব্যথা|ঘুমে_সমস্যা|দুর্বলতা|জয়েন্টে_ব্যথা|ফোলা|হাটতে_অক্ষমতা
বাত,ওজন_কমা|পেশী_ব্যথা|জয়েন্টে_ব্যথা|ফোলা
বাত,শরীর_ব্যথা|ওজন_কমা|দুর্বলতা|জয়েন্টে_ব্যথা
বাত,ওজন_কমা|দুর্বলতা|পেশী_ব্যথা|ফোলা
বাত,শরীর_ব্যথা|ওজন_কমা|দুর্বলতা|জয়েন্টে_ব্যথা
কলেরা,পেট_ব্যথা|দুর্বলতা|পানিশূন্যতা|ডায়রিয়া
কলেরা,পানিশূন্যতা|ডায়রিয়া
কলেরা,পেট_ব্যথা|দুর্বলতা|ডায়রিয়া
নিমোনিয়া,শরীর_ব্যথা|শ্বাসকষ্ট|তীব্র_জ্বর|বুকে_ব্যথা|খাবারের_অরুচি|কাশির_সঙ্গে_রক্তপাত|কফ্|কাশি
নিমোনিয়া,শরীর_ব্যথা|শ্বাসকষ্ট|তীব্র_জ্বর|বুকে_ব্যথা|খাবারের_অরুচি|কাশির_সঙ্গে_রক্তপাত|কফ্
নিমোনিয়া,শরীর_ব্যথা|শ্বাসকষ্ট|তীব্র_জ্বর|বুকে_ব্যথা|খাবারের_অরুচি|কাশির_সঙ্গে_রক্তপাত|কাশি
নিমোনিয়া,শরীর_ব্যথা|শ্বাসকষ্ট|তীব্র_জ্বর|বুকে_ব্যথা|খাবারের_অরুচি|কফ্|কাশি
নিমোনিয়া,শরীর_ব্যথা|শ্বাসকষ্ট|তীব্র_জ্বর|বুকে_ব্যথা|কাশির_সঙ্গে_রক্তপাত|কফ্|কাশি
নিমোনিয়া,শরীর_ব্যথা|শ্বাসকষ্ট|তীব্র_জ্বর|খাবারের_অরুচি|কাশির_সঙ্গে_রক্তপাত|কফ্|কাশি
নিমোনিয়া,শরীর_ব্যথা|শ্বাসকষ্ট|তীব্র_জ্বর|বুকে_ব্যথা|খাবারের_অরুচি|কাশির_সঙ্গে_রক্তপাত
নিমোনিয়া,শরীর_ব্যথা|শ্বাসকষ্ট|তীব্র_জ্বর|বুকে_ব্যথা|খাবারের_অরুচি|কাশি
নিমোনিয়া,শরীর_ব্যথা|শ্বাসকষ্ট|তীব্র_জ্বর|বুকে_ব্যথা|কফ্|কাশি
নিমোনিয়া,শরীর_ব্যথা|শ্বাসকষ্ট|তীব্র_জ্বর|কাশির_সঙ্গে_রক্তপাত|কফ্|কাশি
নিমোনিয়া,শরীর_ব্যথা|শ্বাসকষ্ট|খাবারের_অরুচি|কাশির_সঙ্গে_রক্তপাত|কফ্|কাশি
নিমোনিয়া,শরীর_ব্যথা|বুকে_ব্যথা|খাবারের_অরুচি|কাশির_সঙ্গে_রক্তপাত|কফ্|কাশি
নিমোনিয়া,তীব্র_জ্বর|বুকে_ব্যথা|খাবারের_অরুচি|কাশির_সঙ্গে_রক্তপাত|কফ্|কাশি
